MLR,Ridge,Lasso,Decision Tree Regression
178.13427732326898,178.05533496783556,177.88391064541563,208.13829787234036
136.37036774178742,136.33764606544412,136.25938244264862,126.55244755244756
34.30816375801868,34.156906100891675,34.24299569243685,24.888888888888886
128.75301322725122,128.67925789598652,128.7138723024677,137.8494623655914
150.63318081087994,150.63583230990355,150.59819562292392,137.8494623655914
57.952852671079455,58.0294984914555,58.12112736071351,45.9705882352941
55.39416422694698,55.31978735966669,55.40163702765381,94.64971751412428
203.1368843009584,203.04800381574637,202.884392843615,208.13829787234036
60.75006109456846,60.69647533221971,60.76062769501223,45.9705882352941
0.0,0.0,0.0,32.28440366972475
148.05324705444562,147.93116343814492,147.8308298096117,137.8494623655914
199.19767522264738,199.03072952195288,198.8720274193204,208.13829787234036
83.54766471417213,83.34016478417632,83.34312410022639,94.64971751412428
132.17655027393087,132.20485076325429,132.16749560400663,94.64971751412428
43.59653862624552,43.25649017701771,43.277424438122296,94.64971751412428
141.17994551520357,141.03674758697804,140.99594992345087,94.64971751412428
138.55147608340755,138.60946558290772,138.60502756935935,137.8494623655914
192.05066421730157,191.99302683992482,191.8781430416793,208.13829787234036
93.97107555446215,93.61512963271302,93.67630274773839,94.64971751412428
145.69283120411373,145.7470075717066,145.7211535468811,126.55244755244756
130.94519420234184,130.64302750909584,130.5682411716614,94.64971751412428
121.52636002634468,121.44257245153428,121.4667465415978,137.8494623655914
157.97218165987059,158.01155792922225,157.90735118912633,126.55244755244756
145.83649443739267,145.6027980795067,145.520378768045,94.64971751412428
46.1506970460249,45.97398586702528,45.956043379263754,24.888888888888886
98.68327942019397,98.62008052401323,98.68569930980982,137.8494623655914
186.95888631402192,186.85476917371756,186.67992950243195,208.13829787234036
96.72796608027281,96.5964891612958,96.55402469182573,94.64971751412428
172.05232631330512,172.11873929158338,172.01917808167946,137.8494623655914
162.3161688392396,162.17288327050485,162.04548313063268,94.64971751412428
165.20228292270718,165.1220947572391,165.024870525027,137.8494623655914
161.8544130818844,161.4258984096145,161.20407507638367,94.64971751412428
92.28498334732478,92.16172421080049,92.18733933227644,94.64971751412428
126.83466390682695,126.62290879471479,126.5359204235622,126.55244755244756
53.257475019020006,53.09167580893979,53.14280123024954,94.64971751412428
143.89642820239513,143.99945701205377,143.942552234062,137.8494623655914
147.30090584388847,147.21938264932456,147.04682232960317,126.55244755244756
25.08666752350578,25.055828556545137,25.133008961078517,24.888888888888886
106.14660025019491,105.9822568770279,105.94085097989509,137.8494623655914
102.3378506528874,102.39599100806896,102.389264601336,126.55244755244756
25.40468561605681,25.56011951803397,25.643441209246546,32.28440366972475
45.45391579577134,45.538409044652056,45.64180518422046,32.28440366972475
164.597744555647,164.39958310328927,164.3489664261244,208.13829787234036
41.86651612626859,41.752459376056294,41.79541116054196,45.9705882352941
190.7782503352688,190.71084576448794,190.58724151313584,208.13829787234036
37.64199893466895,37.61069941497547,37.64567833389256,24.888888888888886
0.0,0.0,0.0,24.888888888888886
205.87573318237645,205.81532915548456,205.64888277551944,208.13829787234036
53.15532346077041,53.301029965960836,53.28165843167984,32.28440366972475
239.74632423183425,239.67913239469948,239.40858304246586,208.13829787234036
76.37462344787451,76.24762028754827,76.24288003405806,45.9705882352941
35.24670561854221,35.40391834642128,35.434030229117994,32.28440366972475
201.3072571964808,201.23959459328898,201.13817743200303,208.13829787234036
166.30987793687376,166.19907144229433,166.0286410754086,137.8494623655914
16.946392074227447,16.812360415831222,16.885328483688497,24.888888888888886
5.934671844540333,5.992536318463294,6.0378532857632194,32.28440366972475
202.5840689560759,202.41964679035374,202.30350022599254,208.13829787234036
147.34608086349968,147.36955403699062,147.28182647052466,126.55244755244756
170.9726047131916,170.83930425941494,170.74860571755875,208.13829787234036
80.37351019759154,80.43478059853085,80.40210416765476,32.28440366972475
155.57783814858448,155.70458259026213,155.74714730849814,208.13829787234036
37.74634431330425,37.66502965582738,37.67999854894448,32.28440366972475
0.0,0.0,0.0,24.888888888888886
71.67807693486276,71.62362071420056,71.65458532334448,45.9705882352941
